Hit,Protein1,Protein2,E,Score,Organism
4322,A6MVY4,P48957,3.8e-42,147.5,Synechocystis sp. (strain PCC 6803 / Kazusa)
4323,A6MVY4,B0BZS8,6.6e-42,146.7,Acaryochloris marina (strain MBIC 11017)
4324,A6MVY4,B8HPI7,1.1e-41,146.0,Cyanothece sp. (strain PCC 7425 / ATCC 29141)
4325,O78508,Q6B8U6,0.0,1588.2,Gracilaria tenuistipitata var. liui
4326,O78508,P49479,0.0,1560.5,Trieres chinensis
4327,O78508,Q9TKW2,0.0,1519.6,Nephroselmis olivacea
4328,O78508,Q19V91,0.0,1518.4,Chlorokybus atmophyticus
4329,O78508,P12154,0.0,1516.5,Chlamydomonas reinhardtii
4330,O78508,Q20EW6,0.0,1515.3,Oltmannsiellopsis viridis
4331,O78508,Q9MUR8,0.0,1512.1,Mesostigma viride
4332,O78508,P56341,0.0,1509.1,Chlorella vulgaris
4333,O78508,P06406,0.0,1506.9,Marchantia polymorpha
4334,O78508,Q3ZJ07,0.0,1503.1,Tupiella akineta
4335,O78508,Q8MFA3,0.0,1502.9,Physcomitrium patens
4336,B8HMQ4,P73320,6.6e-100,337.7,Synechocystis sp. (strain PCC 6803 / Kazusa)
4337,B8HMQ4,B2ITQ5,2.9e-99,335.6,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
4338,B8HMQ4,Q31L07,2.1e-98,332.8,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
4339,P49549,A0T0Q5,1.5e-79,269.2,Thalassiosira pseudonana
4340,P49549,Q31QK3,5.1000000000000005e-67,228.7,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
4341,P49549,Q5N3N9,1.6e-66,227.1,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
4342,P49549,B7KJM5,1.4e-65,224.0,Gloeothece citriformis (strain PCC 7424)
4343,P49549,Q7U3T6,2.8e-65,223.1,Synechococcus sp. (strain WH8102)
4344,P49549,B1X076,4.4e-65,222.4,Crocosphaera subtropica (strain ATCC 51142 / BH68)
4345,P49549,B7JWT8,1.4e-64,220.8,Rippkaea orientalis (strain PCC 8801)
4346,P49549,A2BUI1,1.8e-64,220.5,Prochlorococcus marinus str. MIT 9515
4347,P49549,B0CAC9,2.7e-64,219.9,Acaryochloris marina (strain MBIC 11017)
4348,P49549,Q1XDF0,2.8e-64,219.9,Pyropia yezoensis
4349,P49549,A5GPD5,6.3e-64,218.7,Synechococcus sp. (strain WH7803)
4350,P49549,Q7V381,6.6e-64,218.7,Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)
4351,A2CBG9,A5GMR2,0.0,1235.4,Synechococcus sp. (strain WH7803)
4352,A2CBG9,Q7U5L9,0.0,1224.7,Synechococcus sp. (strain WH8102)
4353,A2CBG9,A5GRE6,0.0,1198.3,Synechococcus sp. (strain RCC307)
4354,A2CBG9,Q31R08,0.0,1090.2,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
4355,A8XFM8,O44952,0.0,1871.9,Caenorhabditis elegans
4356,A8XFM8,Q59HJ6,5.2e-295,986.2,Bos taurus
4357,A8XFM8,Q7KUT2,2.4e-291,974.1,Drosophila melanogaster
4358,A8XFM8,A2QCJ2,1.6e-247,829.1,Aspergillus niger (strain CBS 513.88 / FGSC A1513)
4359,A8XFM8,Q7S8C4,6.2e-247,827.1,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)
4360,A8XFM8,Q5AZT7,9.200000000000001e-246,823.2,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)
4361,A8XFM8,Q4X0Z7,4.4999999999999995e-244,817.6,Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100)
4362,A8XFM8,P93648,5.1e-236,791.0,Zea mays
4363,A8XFM8,Q69UZ3,1.1e-233,783.2,Oryza sativa subsp. japonica
4364,A8XFM8,A2YQ56,1.3e-233,783.0,Oryza sativa subsp. indica
4365,A8XFM8,P93655,1.2999999999999996e-230,773.1,Arabidopsis thaliana
4366,A8XFM8,B7FSL4,8.299999999999999e-230,770.4,Phaeodactylum tricornutum (strain CCAP 1055/1)
4367,B1H158,C1BM18,1.9999999999999998e-209,699.8,Osmerus mordax
4368,B1H158,Q178M1,1.7e-169,568.4,Aedes aegypti
4369,Q08601,Q75B43,3.6000000000000002e-146,492.3,Ashbya gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056)
4370,Q08601,Q2UCB7,3.6e-130,439.6,Aspergillus oryzae (strain ATCC 42149 / RIB 40)
4371,Q08601,Q4WYT0,7.3e-128,432.0,Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100)
4372,Q08601,B0Y081,7.3e-128,432.0,Neosartorya fumigata (strain CEA10 / CBS 144.89 / FGSC A1163)
4373,Q08601,A1CL82,1.3e-126,427.9,Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1 / QM 1276 / 107)
4374,Q08601,Q8J140,4e-126,426.3,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)
4375,Q08601,Q0CQL9,2e-125,424.0,Aspergillus terreus (strain NIH 2624 / FGSC A1156)
4376,Q08601,Q0CTN3,2.6e-125,423.6,Aspergillus terreus (strain NIH 2624 / FGSC A1156)
4377,Q08601,A1D611,3.9e-124,419.7,Neosartorya fischeri (strain ATCC 1020 / DSM 3700 / CBS 544.65 / FGSC A1164 / JCM 1740 / NRRL 181 / WB 181)
4378,Q08601,B0XPP3,4.1e-124,419.7,Neosartorya fumigata (strain CEA10 / CBS 144.89 / FGSC A1163)
4379,Q08601,Q4WJA1,4.1e-124,419.7,Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100)
4380,Q2JUX4,B0CCD0,2.6e-236,788.7,Acaryochloris marina (strain MBIC 11017)
4381,Q2JUX4,B1XI63,1.9e-233,779.3,Synechococcus sp. PCC 7002
4382,Q2JUX4,Q1XDK1,3.1e-231,772.0,Pyropia yezoensis
4383,P56342,Q19V90,0.0,1547.0,Chlorokybus atmophyticus
4384,P56342,Q9MUR7,0.0,1546.0,Mesostigma viride
4385,P56342,Q8MFA2,0.0,1524.5,Physcomitrium patens
4386,P56342,P06408,0.0,1506.3,Marchantia polymorpha
4387,P56342,Q32RG9,0.0,1505.9,Zygnema circumcarinatum
4388,Q4G361,Q19VA9,3.7e-42,146.7,Chlorokybus atmophyticus
4389,Q4G361,Q1KVT8,5.7e-42,146.1,Tetradesmus obliquus
4390,Q4G361,P56366,6.4e-42,146.0,Chlorella vulgaris
4391,Q4G361,P59776,1.3e-41,145.0,Chlamydomonas reinhardtii
4392,Q4G361,P15761,5.9e-41,142.9,Cyanophora paradoxa
4393,Q4G361,B7KHZ1,1.4e-40,141.6,Gloeothece citriformis (strain PCC 7424)
4394,P70040,B1H158,5.4e-247,823.4,Xenopus tropicalis
4395,P70040,C1BM18,1e-207,694.2,Osmerus mordax
4396,P70040,Q178M1,1.4e-168,565.4,Aedes aegypti
4397,Q8DI44,B2J5A9,2.2e-74,253.1,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
4398,Q8DI44,P13577,3.3e-72,246.0,Arthrospira platensis
4399,Q8DI44,P18661,1.1e-71,244.3,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
4400,Q8DI44,Q31PV3,1.1e-71,244.3,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
4401,Q8DI44,B1XI65,1.1e-68,234.6,Synechococcus sp. PCC 7002
4402,P48123,P06246,9.3e-130,437.4,Marchantia polymorpha
4403,P48123,Q19V68,1.5999999999999998e-129,436.6,Chlorokybus atmophyticus
4404,P48123,Q1KVS1,2.6e-128,432.6,Tetradesmus obliquus
4405,P48123,Q32RX2,3.3e-126,425.7,Staurastrum punctulatum
4406,P48123,Q3ZJ66,4.5e-126,425.3,Tupiella akineta
4407,A0T0X6,Q4G361,3.9e-44,153.2,Emiliania huxleyi
4408,A0T0X6,Q1KVT8,4.2e-42,146.7,Tetradesmus obliquus
4409,A0T0X6,P15761,1.3e-41,145.2,Cyanophora paradoxa
4410,A0T0X6,B7KHZ1,1.7e-41,144.8,Gloeothece citriformis (strain PCC 7424)
4411,A0T0X6,P59776,3.2999999999999997e-41,143.9,Chlamydomonas reinhardtii
4412,A0T0X6,Q19VA9,1.2e-40,142.1,Chlorokybus atmophyticus
4413,A0T0X6,P56366,4.1e-40,140.4,Chlorella vulgaris
4414,P93648,A4S6Y4,6.9e-306,1022.0,Ostreococcus lucimarinus (strain CCE9901)
4415,P93648,Q59HJ6,1.2999999999999999e-264,885.5,Bos taurus
4416,P93648,Q7KUT2,4.1e-253,847.4,Drosophila melanogaster
4417,P93648,A2QCJ2,2.4e-249,834.9,Aspergillus niger (strain CBS 513.88 / FGSC A1513)
4418,P93648,Q5AZT7,8e-249,833.2,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)
4419,P93648,Q7S8C4,1.1e-248,832.7,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)
4420,P93648,B7FSL4,1e-247,829.5,Phaeodactylum tricornutum (strain CCAP 1055/1)
4421,P93648,Q4X0Z7,1.3000000000000002e-246,825.9,Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100)
4422,B0JVN3,Q3AJZ0,1.5e-32,115.0,Synechococcus sp. CC9605
4423,B0JVN3,Q8YNV9,2.5e-32,114.3,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
4424,B0JVN3,B2J0D4,3.2e-30,107.7,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
4425,Q3MF93,B1XJI0,1.9e-64,220.6,Synechococcus sp. PCC 7002
4426,Q3MF93,A2BYQ9,5.7e-60,206.1,Prochlorococcus marinus str. MIT 9515
4427,B3E845,B5EFR5,1.6000000000000001e-74,254.3,Geobacter bemidjiensis (strain Bem / ATCC BAA-1014 / DSM 16622)
4428,C5CGQ5,O66439,9.6e-28,100.9,Aquifex aeolicus (strain VF5)
4429,B7KHE4,A9BBI9,2.2e-13,53.8,Prochlorococcus marinus (strain MIT 9211)
4430,B7KHE4,Q7VB02,5.3e-12,49.5,Prochlorococcus marinus (strain SARG / CCMP1375 / SS120)
4431,Q3M9H7,B2IVD8,1.5e-94,319.0,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
4432,Q3M9H7,Q31LM9,2.9e-70,240.1,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
4433,B7KBE3,B0JVN3,3.2e-36,126.4,Microcystis aeruginosa (strain NIES-843)
4434,B7KBE3,Q8YNV9,1e-33,118.5,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
4435,B7KBE3,B2J0D4,3.7e-33,116.8,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
4436,B7KBE3,Q3AJZ0,1.6999999999999996e-31,111.6,Synechococcus sp. CC9605
4437,B7KBE3,Q31P67,2.6e-30,107.9,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
4438,B7KBE3,Q5N502,2.6e-30,107.9,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
4439,P49475,B1XIE1,4.4000000000000004e-30,107.3,Synechococcus sp. PCC 7002
4440,P49475,P14835,7.6e-30,106.6,Synechocystis sp. (strain PCC 6803 / Kazusa)
4441,P49475,Q0IDC8,1.2e-28,102.8,Synechococcus sp. (strain CC9311)
4442,B0JY40,B7KI09,7.8e-72,244.1,Gloeothece citriformis (strain PCC 7424)
4443,B0JY40,Q1XDJ3,3.6e-56,193.6,Pyropia yezoensis
4444,B8HT34,Q3MA22,9.5e-61,207.3,Trichormus variabilis ATCC 29413
4445,B8HT34,B1WR94,5.5e-56,192.0,Crocosphaera subtropica (strain ATCC 51142 / BH68)
4446,A2C4B7,Q9Z3H5,1e-38,137.0,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
4447,A2C4B7,Q5N597,2.7e-37,132.5,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
4448,A2C4B7,A0T0G3,1.9e-36,129.7,Phaeodactylum tricornutum (strain CCAP 1055/1)
4449,A2C4B7,P49557,1.7999999999999998e-35,126.5,Trieres chinensis
4450,B2J814,B0JHI7,2.6e-205,687.2,Microcystis aeruginosa (strain NIES-843)
4451,B2J814,B0CDA5,7.9e-195,652.7,Acaryochloris marina (strain MBIC 11017)
4452,B2J814,P73912,1.8e-187,628.4,Synechocystis sp. (strain PCC 6803 / Kazusa)
4453,B2J814,P49539,1.4000000000000008e-118,401.3,Trieres chinensis
4454,B2J814,A0T0G8,2.2e-114,387.5,Phaeodactylum tricornutum (strain CCAP 1055/1)
4455,Q6B8V4,P51313,2e-63,218.3,Porphyra purpurea
4456,Q6B8V4,B7KHY8,2.4e-56,195.2,Gloeothece citriformis (strain PCC 7424)
4457,Q6B8V4,B7K334,2.4999999999999997e-55,191.9,Rippkaea orientalis (strain PCC 8801)
4458,Q6B8V4,B2ITQ4,3.2e-54,188.3,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
4459,Q6B8V4,Q3MFC0,4.9999999999999996e-54,187.6,Trichormus variabilis ATCC 29413
4460,Q6B8V4,Q8YPI0,1.0999999999999999e-53,186.6,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
4461,Q6B8V4,B8HMQ5,1.0999999999999999e-53,186.4,Cyanothece sp. (strain PCC 7425 / ATCC 29141)
4462,Q6B8V4,A0T0H9,1.9e-53,185.8,Phaeodactylum tricornutum (strain CCAP 1055/1)
4463,Q6B8V4,B0C1D4,1.1e-52,183.2,Acaryochloris marina (strain MBIC 11017)
4464,Q6B8V4,P73319,1e-51,180.1,Synechocystis sp. (strain PCC 6803 / Kazusa)
4465,Q6B8V4,O24690,1.1e-50,176.7,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
4466,Q6B8V4,Q31L08,1.1e-50,176.7,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
4467,Q6B8V4,Q110A8,1.2e-50,176.6,Trichodesmium erythraeum (strain IMS101)
4468,Q6B8V4,Q8DMN0,4.1e-50,174.8,Thermosynechococcus elongatus (strain BP-1)
4469,Q6B8V4,A0T0X3,4.4e-49,171.5,Thalassiosira pseudonana
4470,Q31N17,Q5MZ23,0.0,2500.8,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
4471,Q31N17,Q2JX64,0.0,2026.3,Synechococcus sp. (strain JA-3-3Ab)
4472,Q31N17,A2C4N2,0.0,1980.6,Prochlorococcus marinus (strain NATL1A)
4473,B4NYT3,B3N5N3,1.7e-163,546.9,Drosophila erecta
4474,B4NYT3,Q9V3Y2,5.8e-162,541.8,Drosophila melanogaster
4475,B4NYT3,Q29P70,5.1e-150,502.7,Drosophila pseudoobscura pseudoobscura
4476,B4NYT3,B4LRY2,8.200000000000001e-145,485.7,Drosophila virilis
4477,B4NYT3,B4JAX0,4.6e-139,466.9,Drosophila grimshawi
4478,B4NYT3,C3YFB4,6.9e-47,165.2,Branchiostoma floridae
4479,A0T0S5,Q1XDL0,2.4e-12,49.3,Pyropia yezoensis
4480,A0T0S5,O78498,6.5e-12,48.0,Guillardia theta
4481,A0T0S5,Q32RF9,2.2e-10,43.5,Zygnema circumcarinatum
4482,A0T0S5,Q6B8U0,2.4e-10,43.4,Gracilaria tenuistipitata var. liui
4483,A0T0S5,Q19V97,2.5e-10,43.3,Chlorokybus atmophyticus
4484,A0T0S5,Q33C44,5.2e-10,42.4,Nicotiana tomentosiformis
4485,P27179,B2J058,2.8e-264,881.6,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
4486,P27179,P08449,4.2e-255,851.4,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
4487,P27179,Q31RF1,5.5e-254,847.7,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
4488,P27179,Q4G397,3.9000000000000005e-253,844.9,Emiliania huxleyi
4489,P27179,O78475,5.3e-252,841.2,Guillardia theta
4490,P27179,A6MVW4,8.0000000000000005e-252,840.6,Rhodomonas salina
4491,P27179,Q00820,3.9e-251,838.3,Trieres chinensis
4492,Q1XDE8,P51339,6.8e-64,218.0,Porphyra purpurea
4493,Q1XDE8,B7KIR5,1.2999999999999999e-46,162.5,Gloeothece citriformis (strain PCC 7424)
4494,Q1XDE8,B7JWT5,7.400000000000001e-44,153.6,Rippkaea orientalis (strain PCC 8801)
4495,Q1XDE8,B1X073,1.2999999999999998e-43,152.8,Crocosphaera subtropica (strain ATCC 51142 / BH68)
4496,Q1XDE8,Q31QK6,3.3e-43,151.5,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
4497,Q1XDE8,Q5N3N6,3.3e-43,151.5,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
4498,Q1XDE8,B8HVL2,3.3e-43,151.5,Cyanothece sp. (strain PCC 7425 / ATCC 29141)
4499,Q1XDE8,B0CAD2,5.799999999999999e-42,147.5,Acaryochloris marina (strain MBIC 11017)
4500,Q1XDE8,Q8YLJ5,1.3e-41,146.4,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
4501,Q1XDI1,P51307,1.1e-89,302.5,Porphyra purpurea
4502,Q1XDI1,B8HMR1,3.2e-69,236.2,Cyanothece sp. (strain PCC 7425 / ATCC 29141)
4503,Q1XDI1,Q6YXK9,2.1e-68,233.6,Physcomitrium patens
4504,Q1XDI1,Q110B4,7.699999999999999e-68,231.8,Trichodesmium erythraeum (strain IMS101)
4505,Q1XDI1,A6YGC7,5.5e-67,229.0,Pleurastrum terricola
4506,Q1XDI1,Q1ACG0,6.8e-67,228.7,Chara vulgaris
4507,Q1XDU0,B2ITV2,4.4e-10,42.6,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
4508,P51210,B7KFE2,4.4e-35,124.0,Gloeothece citriformis (strain PCC 7424)
4509,P51210,A5GV22,1.5e-34,122.4,Synechococcus sp. (strain RCC307)
4510,P51210,Q0I800,2.1e-34,121.9,Synechococcus sp. (strain CC9311)
4511,Q1XDH5,P51313,5.800000000000001e-130,435.5,Porphyra purpurea
4512,Q1XDH5,B7K334,4.8e-76,259.4,Rippkaea orientalis (strain PCC 8801)
4513,Q1XDH5,Q3MFC0,1.1e-74,255.1,Trichormus variabilis ATCC 29413
4514,Q1XDH5,Q8YPI0,3.8000000000000004e-74,253.3,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
4515,Q1XDH5,B0C1D4,5.800000000000001e-74,252.7,Acaryochloris marina (strain MBIC 11017)
4516,Q1XDH5,B7KHY8,5.4000000000000005e-73,249.5,Gloeothece citriformis (strain PCC 7424)
4517,Q1XDH5,O24690,8.2e-73,248.9,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
4518,Q1XDH5,Q31L08,8.2e-73,248.9,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
4519,Q1XDH5,B0JI02,3.4e-71,243.6,Microcystis aeruginosa (strain NIES-843)
4520,Q1XDH5,B2ITQ4,2.6999999999999998e-70,240.7,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
4521,Q1XDH5,B8HMQ5,4.7e-70,239.9,Cyanothece sp. (strain PCC 7425 / ATCC 29141)
4522,Q1XDH5,Q8DMN0,6.2e-68,233.0,Thermosynechococcus elongatus (strain BP-1)
4523,Q1XDH5,Q6B8V4,1.2e-62,215.7,Gracilaria tenuistipitata var. liui
4524,Q1XDH5,A0T0H9,1.2e-62,215.7,Phaeodactylum tricornutum (strain CCAP 1055/1)
4525,Q7UZJ9,Q112X4,2.2e-108,366.2,Trichodesmium erythraeum (strain IMS101)
4526,Q7UZJ9,Q8YRC9,7.499999999999999e-107,361.3,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
4527,Q7UZJ9,Q3M859,1.7000000000000002e-106,360.1,Trichormus variabilis ATCC 29413
4528,Q7UZJ9,A0T103,8.2e-106,357.9,Thalassiosira pseudonana
4529,Q7UZJ9,B0C390,9.2e-106,357.7,Acaryochloris marina (strain MBIC 11017)
4530,Q7UZJ9,Q5N3I3,5.9999999999999994e-105,355.0,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
4531,B1XJT4,P73315,7.4e-66,224.1,Synechocystis sp. (strain PCC 6803 / Kazusa)
4532,B1XJT4,O24694,1.8e-61,210.0,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
4533,B1XJT4,Q8YPI4,1.5e-56,194.2,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
4534,B1XJT4,Q8DMM6,6.3e-55,188.9,Thermosynechococcus elongatus (strain BP-1)
4535,A0T0R1,P49466,0.0,2149.3,Trieres chinensis
4536,A0T0R1,A0T0D7,0.0,2130.8,Phaeodactylum tricornutum (strain CCAP 1055/1)
4537,A0T0R1,A6MVX4,0.0,1293.1,Rhodomonas salina
4538,A0T0R1,O78485,0.0,1285.8,Guillardia theta
4539,A0T0R1,Q8DL55,0.0,1262.5,Thermosynechococcus elongatus (strain BP-1)
4540,A0T0R1,Q31N17,0.0,1249.4,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
4541,A0T0R1,Q1XDN5,0.0,1249.3,Pyropia yezoensis
4542,A0T0R1,P51252,0.0,1248.9,Porphyra purpurea
4543,A0T0R1,Q5MZ23,0.0,1243.4,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
4544,A0T0R1,A2C4N2,0.0,1237.3,Prochlorococcus marinus (strain NATL1A)
4545,A0T0R1,Q46J22,0.0,1235.5,Prochlorococcus marinus (strain NATL2A)
4546,A0T0R1,P77965,0.0,1235.1,Synechocystis sp. (strain PCC 6803 / Kazusa)
4547,A0T0R1,A8G6Y6,0.0,1235.0,Prochlorococcus marinus (strain MIT 9215)
4548,A0T0R1,Q110H1,0.0,1233.5,Trichodesmium erythraeum (strain IMS101)
4549,A0T0R1,Q318Q7,0.0,1229.9,Prochlorococcus marinus (strain MIT 9312)
4550,A0T0R1,A3PEX4,0.0,1228.9,Prochlorococcus marinus (strain MIT 9301)
4551,A0T0R1,Q2JX64,0.0,1228.9,Synechococcus sp. (strain JA-3-3Ab)
4552,A0T0R1,A2BYL1,0.0,1225.8,Prochlorococcus marinus str. MIT 9515
4553,Q31L35,Q5N0T7,1.2e-51,176.4,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
4554,Q31L35,Q8YPK8,1.5e-41,144.3,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
4555,Q31L35,Q3MF92,1.5999999999999998e-41,144.1,Trichormus variabilis ATCC 29413
4556,B1XJH5,B1WR94,7.2e-63,214.5,Crocosphaera subtropica (strain ATCC 51142 / BH68)
4557,B1XJH5,Q3MA22,3.3e-61,209.1,Trichormus variabilis ATCC 29413
4558,B1XJH5,B8HT34,6.8e-59,201.7,Cyanothece sp. (strain PCC 7425 / ATCC 29141)
4559,P12360,Q9SDM1,1.9999999999999998e-122,412.4,Hordeum vulgare
4560,P12360,P08976,6e-66,227.4,Euglena gracilis
4561,A5GAV7,B3E845,4.1e-84,285.8,Geobacter lovleyi (strain ATCC BAA-1151 / DSM 17278 / SZ)
4562,A5GAV7,B5EFR5,1.9e-83,283.6,Geobacter bemidjiensis (strain Bem / ATCC BAA-1014 / DSM 16622)
4563,A5GAV7,A0LIK5,1.8e-60,208.9,Syntrophobacter fumaroxidans (strain DSM 10017 / MPOB)
4564,Q117D3,P58575,1.6e-28,102.3,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
4565,Q117D3,Q9WWP1,6.1e-27,97.3,Nostoc sp. (strain PCC 8009)
4566,Q117D3,B2J5G1,2.3e-26,95.4,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
4567,Q117D3,Q3AWF7,1.7e-24,89.6,Synechococcus sp. CC9902
4568,Q4G3D8,Q1XDU0,4.3e-10,42.4,Pyropia yezoensis
4569,Q4G3D8,B1WR29,7.9e-08,35.7,Crocosphaera subtropica (strain ATCC 51142 / BH68)
4570,Q4G3D8,P72575,3.7e-07,33.7,Synechocystis sp. (strain PCC 6803 / Kazusa)
4571,Q4G3D8,B2ITV2,6.5e-07,33.0,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
4572,Q4G3D8,B0JX68,2.5e-06,31.3,Microcystis aeruginosa (strain NIES-843)
4573,P49527,A0T0S5,4.7e-14,54.4,Thalassiosira pseudonana
4574,P49527,Q1XDL0,7.3e-12,47.9,Pyropia yezoensis
4575,P49527,O78498,1.8e-11,46.7,Guillardia theta
4576,P49527,A6MVY7,6.2e-11,45.1,Rhodomonas salina
4577,P49527,Q32RF9,5.8e-10,42.2,Zygnema circumcarinatum
4578,P49527,Q6B8U0,6.2e-10,42.2,Gracilaria tenuistipitata var. liui
4579,P49527,Q19V97,6.5e-10,42.1,Chlorokybus atmophyticus
4580,P49527,Q9MUS4,7.3e-10,42.0,Mesostigma viride
4581,P49527,Q33C44,1.7e-09,40.8,Nicotiana tomentosiformis
4582,Q5AQE4,B8NUL8,5.7e-238,794.4,Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167)
4583,A0T0Y2,Q8YPI8,2.2e-29,105.4,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
4584,A0T0Y2,Q3MFB2,2.2e-29,105.4,Trichormus variabilis ATCC 29413
4585,A0T0Y2,P73311,4.2e-29,104.6,Synechocystis sp. (strain PCC 6803 / Kazusa)
4586,A0T0Y2,Q3AMN9,7.000000000000001e-29,103.9,Synechococcus sp. CC9605
4587,A0T0Y2,Q7U4J1,9.000000000000001e-29,103.5,Synechococcus sp. (strain WH8102)
4588,A0T0Y2,Q3AW84,9.1e-29,103.5,Synechococcus sp. CC9902
4589,A0T0Y2,Q8DMM3,2.3000000000000003e-28,102.2,Thermosynechococcus elongatus (strain BP-1)
4590,A0T0Y2,Q0ID14,3.2000000000000003e-28,101.8,Synechococcus sp. (strain CC9311)
4591,A0T0Y2,A5GVW9,4.500000000000001e-28,101.3,Synechococcus sp. (strain RCC307)
4592,A0T0Y2,O66439,7.300000000000001e-27,97.5,Aquifex aeolicus (strain VF5)
4593,A0T0Y2,Q2JV90,9e-27,97.2,Synechococcus sp. (strain JA-3-3Ab)
4594,A0T0Y2,Q110B6,3.3e-26,95.4,Trichodesmium erythraeum (strain IMS101)
4595,A0T0Y2,Q2JIL8,4.6e-26,94.9,Synechococcus sp. (strain JA-2-3B'a(2-13))
4596,A0T0Y2,Q1XDI3,6.299999999999999e-26,94.5,Pyropia yezoensis
4597,Q85G59,P49460,2.9999999999999997e-222,741.8,Trieres chinensis
4598,Q85G59,Q1XDS5,1.2e-221,739.9,Pyropia yezoensis
4599,Q85G59,Q6B929,7.599999999999996e-221,737.2,Gracilaria tenuistipitata var. liui
4600,Q85G59,P51212,7.8e-221,737.2,Porphyra purpurea
4601,Q85G59,Q3MAB1,8.3e-220,733.8,Trichormus variabilis ATCC 29413
4602,Q85G59,P04997,3.6e-219,731.7,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
4603,Q85G59,Q5N5R2,3.6e-219,731.7,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
